year,microrregion_code,microrregion_name,uf,macroregion,homicide_count,population,homicide_rate_per_100k,percentile_unweighted,bubble_area_points2
2024,28002,Carira,SE,Nordeste,22,70644.0,31.142064435762414,80.28673835125448,9.4192
2024,22012,Chapadas do Extremo Sul Piauiense,PI,Nordeste,27,86102.0,31.35815660495691,80.46594982078852,11.480266666666667
2024,27006,Arapiraca,AL,Nordeste,140,445782.0,31.405485192313733,80.64516129032258,59.4376
2024,13007,Manaus,AM,Norte,808,2572079.0,31.41427615559242,80.82437275985663,342.9438666666667
2024,32004,Montanha,ES,Sudeste,18,56933.0,31.616110164579418,81.00358422939068,7.591066666666666
2024,29019,Catu,BA,Nordeste,68,213506.0,31.849222035914682,81.18279569892474,28.467466666666667
2024,29011,Itaberaba,BA,Nordeste,78,243496.0,32.03338042514046,81.36200716845879,32.46613333333333
2024,26009,Alto Capibaribe,PE,Nordeste,101,313754.0,32.19082465880913,81.54121863799283,41.833866666666665
2024,24006,Pau dos Ferros,RN,Nordeste,39,120733.0,32.30268443590402,81.72043010752688,16.097733333333334
2024,26008,Vale do Ipojuca,PE,Nordeste,322,985135.0,32.68587553990062,81.89964157706093,131.35133333333334
2024,29017,Alagoinhas,BA,Nordeste,106,322546.0,32.86352954307293,82.07885304659499,43.00613333333333
2024,23016,Fortaleza,CE,Nordeste,1207,3655441.0,33.01927181973392,82.25806451612904,487.39213333333333
2024,23013,Baturité,CE,Nordeste,64,192379.0,33.267664350059,82.43727598566308,25.650533333333332
2024,32005,São Mateus,ES,Sudeste,72,215592.0,33.39641545140822,82.61648745519713,28.7456
2024,27009,Mata Alagoana,AL,Nordeste,91,272086.0,33.44530773358424,82.79569892473118,36.27813333333334
2024,23002,Ibiapaba,CE,Nordeste,113,337595.0,33.472059716524235,82.97491039426524,45.01266666666667
2024,21006,Itapecuru Mirim,MA,Nordeste,74,217569.0,34.01219842900413,83.15412186379929,29.0092
2024,13011,Boca do Acre,AM,Norte,20,58478.0,34.20089606347686,83.33333333333333,7.797066666666667
2024,15012,Tomé-Açu,PA,Norte,113,329635.0,34.280340376477014,83.51254480286738,43.95133333333333
